name
LISTE PO IZBORNIM JEDINICAMA / ЛИСТE ПО ИЗБОРНИМ ЈЕДИНИЦАМА 
ЗАСТУПНИЧКИ/ПРЕДСТАВНИЧКИ ДОМ ПАРЛАМЕНТАРНЕ СКУПШТИНЕ БИХ ИЗБОРНА ЈЕДИНИЦА 1А 
ЗАСТУПНИЧКИ/ПРЕДСТАВНИЧКИ ДОМ ПАРЛАМЕНТАРНЕ СКУПШТИНЕ БИХ ИЗБОРНА ЈЕДИНИЦА 2А 
ЗАСТУПНИЧКИ/ПРЕДСТАВНИЧКИ ДОМ ПАРЛАМЕНТАРНЕ СКУПШТИНЕ БИХ ИЗБОРНА ЈЕДИНИЦА 3А 
ЗАСТУПНИЧКИ/ПРЕДСТАВНИЧКИ ДОМ ПАРЛАМЕНТАРНЕ СКУПШТИНЕ БИХ ИЗБОРНА ЈЕДИНИЦА 4А 
ЗАСТУПНИЧКИ/ПРЕДСТАВНИЧКИ ДОМ ПАРЛАМЕНТАРНЕ СКУПШТИНЕ БИХ ИЗБОРНА ЈЕДИНИЦА 5А 
ZASTUPNIČKI/PREDSTAVNIČKI DOM PARLAMENTARNE SKUPŠTINE BIH IZBORNA JEDINICA 1B 
ZASTUPNIČKI/PREDSTAVNIČKI DOM PARLAMENTARNE SKUPŠTINE BIH IZBORNA JEDINICA 2B 
ZASTUPNIČKI/PREDSTAVNIČKI DOM PARLAMENTARNE SKUPŠTINE BIH IZBORNA JEDINICA 3B 
LISTЕ ZA DODJELU KOMPENZACIJSKIH MANDATA / ЛИСТЕ ЗА ДОДЈЕЛУ КОМПЕНЗАЦИОНИХ МАНДАТА 
TERITORIJЕ FEDERACIJE BOSNE I HERCEGOVINE) / ЗАСТУПНИЧКИ/ПРЕДСТАВНИЧКИ ДОМ ПАРЛАМЕНТАРНЕ 
СКУПШТИНЕ БОСНЕ И ХЕРЦЕГОВИНЕ (ИЗБОРНЕ ЈЕДИНИЦЕ С ТЕРИТОРИЈЕ ФЕДЕРАЦИЈЕ БОСНЕ И ХЕРЦЕГОВИНЕ) 
TERITORIJЕ REPUBLIKE SRPSKE) / ЗАСТУПНИЧКИ/ПРЕДСТАВНИЧКИ ДОМ ПАРЛАМЕНТАРНЕ СКУПШТИНЕ БОСНЕ И 
ХЕРЦЕГОВИНЕ (ИЗБОРНЕ ЈЕДИНИЦЕ С ТЕРИТОРИЈЕ РЕПУБЛИКЕ СРПСКЕ) 
LISTЕ PO IZBORNIM JEDINICAMA / ЛИСТЕ ПО ИЗБОРНИМ ЈЕДИНИЦАМА 
ЗАСТУПНИЧКИ/ПРЕДСТАВНИЧКИ ДОМ ПАРЛАМЕНТА ФЕДЕРАЦИЈЕ БИХ ИЗБОРНА ЈЕДИНИЦА 1 
ЗАСТУПНИЧКИ/ПРЕДСТАВНИЧКИ ДОМ ПАРЛАМЕНТА ФЕДЕРАЦИЈЕ БИХ ИЗБОРНА ЈЕДИНИЦА 2 
ЗАСТУПНИЧКИ/ПРЕДСТАВНИЧКИ ДОМ ПАРЛАМЕНТА ФЕДЕРАЦИЈЕ БИХ ИЗБОРНА ЈЕДИНИЦА 3 
ЗАСТУПНИЧКИ/ПРЕДСТАВНИЧКИ ДОМ ПАРЛАМЕНТА ФЕДЕРАЦИЈЕ БИХ ИЗБОРНА ЈЕДИНИЦА 4 
ЗАСТУПНИЧКИ/ПРЕДСТАВНИЧКИ ДОМ ПАРЛАМЕНТА ФЕДЕРАЦИЈЕ БИХ ИЗБОРНА ЈЕДИНИЦА 5 
